date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:43:07	84355/84355	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-14983%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js	C:/xampp/htdocs/dogebsc/Kava/cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js	(from https://www.dogebsc.io/)
10:43:08	8044/8044	---M-Z	200	added ('OK')	application/javascript	etag:%225eb0402f-1f6c%22	https://cdnjs.cloudflare.com/ajax/libs/waypoints/2.0.3/waypoints.min.js	C:/xampp/htdocs/dogebsc/Kava/cdnjs.cloudflare.com/ajax/libs/waypoints/2.0.3/waypoints.min.js	(from https://www.dogebsc.io/)
10:43:08	1071/1071	---M-Z	200	added ('OK')	application/javascript	etag:W/%2242f-YzteFSlsJJhNsZKJU944+r1/DPU%22	https://cdn.jsdelivr.net/jquery.counterup/1.0/jquery.counterup.min.js	C:/xampp/htdocs/dogebsc/Kava/cdn.jsdelivr.net/jquery.counterup/1.0/jquery.counterup.min.js	(from https://www.dogebsc.io/)
10:43:09	218820/218820	---M-Z	200	added ('OK')	text/css	etag:%220bb689e1160ea25dce13fb35b30a0901%22	https://assets.website-files.com/602ec5c64ccd0a3919e9ef6c/css/dogebsc-staging-03-21.dcc38aa9f.css	C:/xampp/htdocs/dogebsc/Kava/assets.website-files.com/602ec5c64ccd0a3919e9ef6c/css/dogebsc-staging-03-21.dcc38aa9f.css	(from https://www.dogebsc.io/)
10:43:11	109086/109086	---M--	200	added ('OK')	image/png	etag:%22530eb583bdd1b75f6d8c351566591774%22	https://assets.website-files.com/602ec5c64ccd0a3919e9ef6c/60356078c558e3722fbad4fc_team.png	C:/xampp/htdocs/dogebsc/Kava/assets.website-files.com/602ec5c64ccd0a3919e9ef6c/60356078c558e3722fbad4fc_team.png	(from https://www.dogebsc.io/about)
10:43:32	18199/18199	---M--	200	added ('OK')	image/png	etag:%224d6dbf45125d1a48f69296034c602de2%22	https://assets.website-files.com/602ec5c64ccd0a3919e9ef6c/6035a6c6103e38137ced7b37_Kava-logo-white.png	C:/xampp/htdocs/dogebsc/Kava/assets.website-files.com/602ec5c64ccd0a3919e9ef6c/6035a6c6103e38137ced7b37_Kava-logo-white.png	(from https://www.dogebsc.io/brand-assets)
10:44:15	16654/16654	---M--	200	added ('OK')	image/png	etag:%22d1d14a40f6b1398ca363f68181111125%22	https://assets.website-files.com/602ec5c64ccd0a3919e9ef6c/603589a9542efb50b5018857_Kava-logo.png	C:/xampp/htdocs/dogebsc/Kava/assets.website-files.com/602ec5c64ccd0a3919e9ef6c/603589a9542efb50b5018857_Kava-logo.png	(from https://www.dogebsc.io/brand-assets)
10:44:53	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Wed,%2010%20Mar%202021%2009:44:15%20GMT	https://www.dogebsc.io/%22https://assets.website-files.com/602ec5c64ccd0a3919e9ef6c/6037ee866f1fb44a3ee6892b_binance-swipe-poster-00001.jpg%22	C:/xampp/htdocs/dogebsc/Kava/www.dogebsc.io/_https_/assets.website-files.com/602ec5c64ccd0a3919e9ef6c/6037ee866f1fb44a3ee6892b_binance-swipe-poster-00001.html	(from https://www.dogebsc.io/)
10:44:53	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Wed,%2010%20Mar%202021%2009:44:15%20GMT	https://www.dogebsc.io/%22https://assets.website-files.com/602ec5c64ccd0a3919e9ef6c/60396008ba16f830ca46582d_dogebsc-supply%20btc-poster-00001.jpg%22	C:/xampp/htdocs/dogebsc/Kava/www.dogebsc.io/_https_/assets.website-files.com/602ec5c64ccd0a3919e9ef6c/60396008ba16f830ca46582d_dogebsc-supply%20btc-poster-00001.html	(from https://www.dogebsc.io/)
10:45:19	13895/13895	---M--	200	added ('OK')	image/png	etag:%22b33e0a2365f2331c462af502295b0632%22	https://assets.website-files.com/602ec5c64ccd0a3919e9ef6c/6035a71e859841c4c1d1d357_Kava-icon.png	C:/xampp/htdocs/dogebsc/Kava/assets.website-files.com/602ec5c64ccd0a3919e9ef6c/6035a71e859841c4c1d1d357_Kava-icon.png	(from https://www.dogebsc.io/brand-assets)
10:45:19	7695/7695	---M--	200	added ('OK')	image/png	etag:%2264673a29c74c1b6d982dba7c3fd53050%22	https://assets.website-files.com/602ec5c64ccd0a3919e9ef6c/6035a74d1fc3b4a4493b0b09_Kava-icon-white.png	C:/xampp/htdocs/dogebsc/Kava/assets.website-files.com/602ec5c64ccd0a3919e9ef6c/6035a74d1fc3b4a4493b0b09_Kava-icon-white.png	(from https://www.dogebsc.io/brand-assets)
10:45:19	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Wed,%2010%20Mar%202021%2009:44:54%20GMT	https://www.dogebsc.io/%22https://assets.website-files.com/602ec5c64ccd0a3919e9ef6c/6037ee866f1fb44a3ee6892b_binance-swipe-poster-00001.jpg%22	C:/xampp/htdocs/dogebsc/Kava/www.dogebsc.io/_https_/assets.website-files.com/602ec5c64ccd0a3919e9ef6c/6037ee866f1fb44a3ee6892b_binance-swipe-poster-00001.html	(from https://www.dogebsc.io/)
10:45:19	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Wed,%2010%20Mar%202021%2009:44:54%20GMT	https://www.dogebsc.io/%22https://assets.website-files.com/602ec5c64ccd0a3919e9ef6c/60396008ba16f830ca46582d_dogebsc-supply%20btc-poster-00001.jpg%22	C:/xampp/htdocs/dogebsc/Kava/www.dogebsc.io/_https_/assets.website-files.com/602ec5c64ccd0a3919e9ef6c/60396008ba16f830ca46582d_dogebsc-supply%20btc-poster-00001.html	(from https://www.dogebsc.io/)
